0;0;0;0;sea;false;ocean;0
1;254;123;208;land;false;plains;1
2;135;229;181;land;true;plains;1
3;237;144;192;land;false;desert;1
4;179;240;214;land;false;plains;1
5;196;196;147;land;false;plains;1
6;101;196;204;land;false;plains;1
7;202;233;161;land;false;jungle;1
8;240;159;244;land;false;plains;1
9;105;221;238;land;false;urban;1
10;227;251;252;land;true;jungle;1
11;145;149;231;land;true;mountain;1
12;159;179;249;land;false;desert;1
13;245;195;118;land;true;asteroid;3
14;173;209;185;land;false;urban;1
15;106;219;225;land;false;jungle;1
16;131;213;187;land;false;plains;1
17;169;250;159;land;false;plains;1
18;110;240;248;land;false;urban;1
19;250;206;239;land;true;jungle;1
20;104;171;226;land;false;urban;1
21;138;244;226;land;false;plains;1
22;151;243;114;land;false;urban;1
23;218;115;168;land;false;plains;1
24;192;164;176;land;true;desert;1
25;249;223;215;land;false;urban;1
26;13;253;248;land;false;urban;1
27;223;180;170;land;true;mountain;1
28;207;223;81;land;false;desert;1
29;247;63;238;land;false;jungle;1
30;228;241;187;land;false;plains;1
31;160;251;92;land;false;plains;1
32;115;220;199;land;false;desert;1
33;235;240;176;land;false;plains;1
34;224;251;229;land;true;urban;1
35;149;190;172;land;false;plains;1
36;127;201;201;land;false;urban;1
37;186;189;217;land;true;plains;1
38;201;136;189;land;false;plains;1
39;136;190;239;land;false;plains;1
40;193;226;143;land;false;urban;1
41;252;228;33;land;true;plains;1
42;254;238;199;land;false;plains;1
43;181;250;120;land;true;jungle;1
44;179;176;221;land;true;plains;1
45;236;229;47;land;false;desert;1
46;26;252;244;land;false;plains;1
47;164;89;250;land;false;plains;1
48;180;254;205;land;false;plains;1
49;129;150;223;land;true;plains;1
50;166;216;146;land;false;plains;1
51;198;149;187;land;false;plains;1
52;251;157;176;land;false;plains;1
53;64;190;253;land;false;jungle;1
54;207;144;188;land;true;desert;1
55;233;202;72;land;false;plains;1
56;228;197;184;land;true;plains;1
57;245;64;250;land;false;desert;1
58;191;147;169;land;false;jungle;1
59;175;224;129;land;false;urban;1
60;209;168;187;land;false;plains;1
61;244;199;91;land;true;plains;1
62;209;189;203;land;false;plains;1
63;141;148;238;land;false;plains;1
64;214;196;113;land;false;desert;1
65;202;224;100;land;false;urban;1
66;136;237;245;land;false;urban;1
67;243;248;123;land;true;plains;1
68;233;206;103;land;false;plains;1
69;241;183;247;land;false;desert;1
70;193;238;174;land;false;plains;1
71;252;61;226;land;false;urban;1
72;202;162;217;land;false;plains;1
73;202;161;199;land;false;plains;1
74;63;248;203;land;false;jungle;1
75;225;210;149;land;false;plains;1
76;228;250;33;land;false;desert;1
77;235;235;57;land;false;asteroid;3
78;23;238;249;land;false;plains;1
79;85;209;221;land;false;plains;1
80;213;232;229;land;true;urban;1
81;94;210;242;land;true;urban;1
82;177;206;216;land;false;desert;1
83;101;250;216;land;true;plains;1
84;195;226;249;land;false;urban;1
85;157;200;239;land;true;plains;1
86;120;226;211;land;true;urban;1
87;212;220;205;land;false;plains;1
88;135;149;218;land;false;plains;1
89;219;242;60;land;false;desert;1
90;138;163;203;land;true;desert;1
91;229;183;178;land;true;plains;1
92;232;216;193;land;false;desert;1
93;246;208;118;land;false;plains;1
94;140;197;197;land;true;plains;1
95;218;179;191;land;false;plains;1
96;124;223;222;land;false;desert;1
97;226;192;115;land;false;desert;1
98;150;194;238;land;true;mountain;1
99;194;141;247;land;false;plains;1
100;123;229;167;land;false;urban;1
101;182;113;249;land;true;plains;1
102;205;168;201;land;false;urban;1
103;25;240;251;land;false;desert;1
104;242;193;180;land;true;urban;1
105;214;120;245;land;false;jungle;1
106;206;148;162;land;false;plains;1
107;217;136;234;land;false;plains;1
108;201;141;238;land;true;plains;1
109;249;197;82;land;false;plains;1
110;190;217;118;land;false;plains;1
111;246;107;155;land;true;jungle;1
112;165;123;245;land;true;plains;1
113;47;207;249;land;true;urban;1
114;199;91;232;land;false;jungle;1
115;155;209;176;land;true;plains;1
116;27;155;244;land;false;asteroid;3
117;254;145;145;land;true;plains;1
118;198;138;229;land;false;plains;1
119;241;161;227;land;true;plains;1
120;178;236;137;land;true;plains;1
121;224;148;239;land;false;plains;1
122;246;146;189;land;false;plains;1
123;233;94;203;land;false;jungle;1
124;221;191;96;land;false;urban;1
125;246;44;228;land;true;urban;1
126;245;128;128;land;true;plains;1
127;133;203;188;land;false;plains;1
128;246;250;130;land;true;urban;1
129;173;203;171;land;true;plains;1
130;149;231;191;land;false;plains;1
131;201;250;54;land;false;desert;1
132;123;237;175;land;true;jungle;1
133;121;228;174;land;false;plains;1
134;221;164;165;land;true;jungle;1
135;156;250;224;land;false;desert;1
136;173;83;251;land;false;plains;1
137;174;209;171;land;false;jungle;1
138;247;242;236;land;false;plains;1
139;196;145;243;land;false;urban;1
140;93;204;245;land;false;plains;1
141;227;113;237;land;false;urban;1
142;244;125;149;land;false;plains;1
143;186;173;250;land;false;desert;1
144;63;214;243;land;true;urban;1
145;207;247;54;land;false;plains;1
146;136;200;236;land;false;martian_plains;2
147;115;217;188;land;false;plains;1
148;243;206;254;land;false;desert;1
149;132;246;147;land;false;plains;1
150;226;106;231;land;false;mountain;1
151;192;201;232;land;false;desert;1
152;211;245;46;land;false;plains;1
153;252;121;200;land;false;jungle;1
154;230;182;166;land;false;plains;1
155;230;239;150;land;false;plains;1
156;241;236;135;land;false;plains;1
157;179;251;236;land;false;urban;1
158;203;203;157;land;false;desert;1
159;156;248;226;land;false;mountain;1
160;187;251;131;land;false;urban;1
161;102;247;167;land;true;plains;1
162;248;169;187;land;false;plains;1
163;205;185;231;land;false;plains;1
164;185;100;252;land;false;jungle;1
165;252;200;221;land;true;plains;1
166;244;207;206;land;false;plains;1
167;37;243;229;land;false;plains;1
168;245;66;194;land;false;desert;1
169;244;253;163;land;false;urban;1
170;171;115;251;land;false;desert;1
171;187;89;234;land;false;urban;1
172;187;242;209;land;false;desert;1
173;239;186;139;land;true;plains;1
174;230;179;100;land;true;plains;1
175;123;194;250;land;true;plains;1
176;201;185;227;land;false;plains;1
177;179;185;221;land;false;hills;1
178;248;109;251;land;false;asteroid;3
179;234;197;237;land;false;urban;1
180;204;215;108;land;true;urban;1
181;250;229;244;land;false;urban;1
182;186;91;234;land;false;desert;1
183;249;154;139;land;false;plains;1
184;103;204;205;land;true;plains;1
185;90;242;177;land;false;desert;1
186;180;204;194;land;false;desert;1
187;49;228;254;land;false;plains;1
188;253;226;43;land;true;plains;1
189;99;202;219;land;false;desert;1
190;170;143;233;land;false;plains;1
191;41;241;225;land;false;plains;1
192;197;216;187;land;true;jungle;1
193;247;227;172;land;false;urban;1
194;194;229;120;land;false;urban;1
195;186;188;172;land;true;urban;1
196;237;170;121;land;true;desert;1
197;133;239;135;land;false;plains;1
198;116;232;214;land;false;plains;1
199;146;196;189;land;false;plains;1
200;122;169;226;land;false;plains;1
201;198;163;206;land;false;plains;1
202;215;252;133;land;false;jungle;1
203;145;135;223;land;true;urban;1
204;214;180;188;land;true;desert;1
205;246;169;188;land;false;desert;1
206;170;176;231;land;true;urban;1
207;228;175;235;land;false;plains;1
208;223;165;222;land;false;plains;1
209;138;236;129;land;false;plains;1
210;182;237;175;land;true;urban;1
211;195;229;220;land;false;urban;1
212;251;7;249;land;false;jungle;1
213;191;245;135;land;false;plains;1
214;157;251;109;land;false;urban;1
215;221;110;200;land;false;plains;1
216;238;135;220;land;false;urban;1
217;206;185;169;land;false;urban;1
218;231;194;153;land;true;plains;1
219;241;92;214;land;false;plains;1
220;235;124;223;land;true;plains;1
221;247;222;177;land;true;urban;1
222;188;236;222;land;false;urban;1
